idx	char
0	 
1	!
2	(
3	)
4	*
5	+
6	,
7	-
8	.
9	/
10	1
11	2
12	3
13	6
14	8
15	9
16	:
17	<
18	>
19	?
20	A
21	B
22	C
23	D
24	E
25	F
26	G
27	H
28	I
29	J
30	K
31	L
32	M
33	N
34	O
35	P
36	R
37	S
38	T
39	U
40	V
41	W
42	Y
43	[
44	\
45	]
46	`
47	a
48	b
49	c
50	d
51	e
52	f
53	g
54	h
55	i
56	k
57	l
58	m
59	n
60	o
61	p
62	r
63	s
64	t
65	u
66	w
67	x
68	y
69	z
70	~
71	·
72	…
73	☆
74	　
75	。
76	〇
77	《
78	》
79	〖
80	〗
81	ー
82	ㄇ
83	ㄈ
84	ㄌ
85	ㄒ
86	ㄙ
87	ㄚ
88	ㄟ
89	ㄡ
90	一
91	丁
92	七
93	万
94	三
95	上
96	下
97	不
98	与
99	丑
100	专
101	世
102	丘
103	业
104	丛
105	东
106	丟
107	丢
108	两
109	严
110	丧
111	个
112	中
113	临
114	丸
115	丹
116	为
117	主
118	丽
119	举
120	久
121	么
122	义
123	之
124	乌
125	乎
126	乐
127	乒
128	乓
129	乖
130	乘
131	九
132	也
133	习
134	乡
135	书
136	买
137	乱
138	乾
139	了
140	予
141	争
142	事
143	二
144	于
145	亏
146	云
147	互
148	五
149	井
150	亘
151	亚
152	些
153	亡
154	交
155	亦
156	产
157	享
158	亭
159	亮
160	亲
161	人
162	什
163	仁
164	仇
165	今
166	介
167	仍
168	从
169	仓
170	仔
171	仕
172	他
173	仗
174	付
175	仙
176	代
177	令
178	以
179	仪
180	们
181	仰
182	件
183	价
184	任
185	份
186	仿
187	伊
188	伏
189	伐
190	休
191	众
192	优
193	伙
194	会
195	伞
196	伟
197	传
198	伤
199	伦
200	伪
201	伫
202	伯
203	伱
204	伴
205	伸
206	似
207	伽
208	但
209	位
210	低
211	住
212	体
213	佔
214	何
215	佗
216	余
217	佛
218	作
219	你
220	佳
221	佻
222	使
223	來
224	供
225	依
226	侠
227	侦
228	侧
229	侬
230	侵
231	便
232	促
233	俊
234	保
235	俠
236	信
237	俯
238	俺
239	個
240	們
241	倒
242	倔
243	候
244	借
245	倦
246	倫
247	倭
248	债
249	值
250	倾
251	假
252	偎
253	偏
254	做
255	停
256	偶
257	偷
258	傀
259	傅
260	傍
261	储
262	傲
263	傷
264	傻
265	傾
266	像
267	僵
268	儡
269	儿
270	兀
271	元
272	兄
273	充
274	兆
275	先
276	光
277	克
278	免
279	兜
280	入
281	全
282	兩
283	八
284	公
285	六
286	兮
287	兰
288	共
289	关
290	兴
291	兵
292	其
293	具
294	典
295	养
296	兽
297	内
298	冉
299	册
300	再
301	冒
302	写
303	军
304	农
305	冠
306	冥
307	冬
308	冰
309	冲
310	决
311	况
312	冷
313	净
314	凄
315	准
316	凉
317	凋
318	凌
319	减
320	凝
321	几
