,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,195723,8,14.3653,0.0006
,北京市,3439,1,15.9835,0.0046
,天津市,1001,1,6.5994,0.0066
,河北省,22537,1,30.5224,0.0014
,山西省,6232,0,17.0835,
,内蒙古,1378,0,5.5014,
,辽宁省,1498,0,3.4115,
,吉林省,645,0,2.3434,
,黑龙江省,431,0,1.1244,
,上海市,6031,0,24.8631,
,江苏省,4102,1,5.1532,0.0013
,浙江省,7970,0,14.4699,
,安徽省,11256,1,18.5043,0.0016
,福建省,8236,0,21.6395,
,江西省,8377,0,18.4428,
,山东省,4919,0,5.0248,
,河南省,17522,0,18.5693,
,湖北省,9201,0,15.8202,
,湖南省,8705,0,12.9207,
,广东省,46219,1,43.0987,0.0009
,广    西,4464,0,9.3900,
,海南省,703,0,7.7810,
,重庆市,2357,1,7.8793,0.0033
,四川省,2543,0,3.1240,
,贵州省,3329,0,9.4897,
,云南省,1958,0,4.1537,
,西    藏,20,0,0.6298,
,陕西省,3592,0,9.5149,
,甘肃省,5056,0,19.5154,
,青海省,276,1,4.7307,0.0171
,宁    夏,925,0,13.9825,
,新疆,801,0,3.4849,
,建设兵团,60,0,2.1955,
2018年9月10日 下午9:13,,,,,
